Date,X_t,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,X_t-6,X_t-7,X_t-8,X_t-9,X_t-10,X_t-11,X_t-12,X_t-13,X_t-14,X_t-15,X_t-16,X_t-17,X_t-18,X_t-19,X_t-20,X_t-21,X_t-22,X_t-23,X_t-24,X_t-25,Pos_t-1,Neu_t-1,Neg_t-1
2017-06-14,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,64.34,64.52,64.84,64.9,64.81,65.15,,,
2017-06-15,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,64.34,64.52,64.84,64.9,64.81,,,
2017-06-16,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,64.34,64.52,64.84,64.9,,,
2017-06-19,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,64.34,64.52,64.84,,,
2017-06-20,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,64.34,64.52,,,
2017-06-21,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,64.34,,,
2017-06-22,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,65.41,,,
2017-06-23,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,65.55,,,
2017-06-26,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,65.36,,,
2017-06-27,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,64.93,,,
2017-06-28,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,65.2,,,
2017-06-29,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,65.07,,,
2017-06-30,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,65.17,,,
2017-07-03,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,65.17,,,
2017-07-04,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,65.31,,,
2017-07-05,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,65.09,,,
2017-07-06,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,64.93,,,
2017-07-07,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,66.72,,,
2017-07-10,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,67.42,,,
2017-07-11,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,66.9,,,
2017-07-12,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,67.09,,,
2017-07-13,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,67.44,,,
2017-07-14,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,67.63,,,
2017-07-17,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,66.95,,,
2017-07-18,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,67.11,,,
2017-07-19,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,67.19,,,
2017-07-20,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,67.77,,,
2017-07-21,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,68.57,,,
2017-07-24,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,68.13,,,
2017-07-25,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,68.16,,,
2017-07-26,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,68.01,,,
2017-07-27,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,67.04,,,
2017-07-28,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,67.21,0.0,0.811,0.189
2017-07-31,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,67.14,,,
2017-08-01,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,66.41,,,
2017-08-02,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,66.37,,,
2017-08-03,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,66.3,,,
2017-08-04,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,65.83,,,
2017-08-07,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,66.57,,,
2017-08-08,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,66.57,,,
2017-08-09,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,66.78,,,
2017-08-10,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,64.89,,,
2017-08-11,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,64.98,,,
2017-08-14,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,64.73,,,
2017-08-15,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,64.41,,,
2017-08-16,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,65.05,,,
2017-08-17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,65.01,,,
2017-08-18,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,65.46,,,
2017-08-21,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,66.25,,,
2017-08-22,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,66.05,,,
2017-08-23,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,67.16,,,
2017-08-24,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,67.16,,,
2017-08-25,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,67.16,,,
2017-08-28,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,66.65,,,
2017-08-29,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,66.07,,,
2017-08-30,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,67.36,,,
2017-08-31,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,67.5,,,
2017-09-01,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,67.71,,,
2017-09-04,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,68.06,,,
2017-09-05,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,67.84,,,
2017-09-06,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,67.76,,,
2017-09-07,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,67.3,,,
2017-09-08,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,67.32,,,
2017-09-11,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,67.24,,,
2017-09-12,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,67.15,,,
2017-09-13,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,67.35,,,
2017-09-14,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,67.08,,,
2017-09-15,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,66.98,,,
2017-09-18,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,67.98,,,
2017-09-19,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,68.31,,,
2017-09-20,66.72,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,67.91,,,
2017-09-21,66.47,66.72,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,67.65,,,
2017-09-22,65.88,66.47,66.72,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,67.17,,,
2017-09-25,66.08,65.88,66.47,66.72,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,67.77,,,
2017-09-26,66.03,66.08,65.88,66.47,66.72,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,67.74,,,
2017-09-27,65.62,66.03,66.08,65.88,66.47,66.72,66.83,67.34,67.88,67.39,67.31,67.61,68.61,68.09,67.72,67.22,67.14,66.99,66.99,67.15,67.31,67.15,67.37,67.94,67.97,67.98,,,
